Kanal-ID,Kanalnettadresse,Kanaltittel
UC-SrCCzkGq0wmSAuRs7EBFg,http://www.youtube.com/channel/UC-SrCCzkGq0wmSAuRs7EBFg,Miniminuteman
UC-c4gdop7SsZow7fsZyRrnA,http://www.youtube.com/channel/UC-c4gdop7SsZow7fsZyRrnA,Forsvaret
UC-ihxmkocezGSm9JcKg1rfw,http://www.youtube.com/channel/UC-ihxmkocezGSm9JcKg1rfw,OperatorDrewski
UC0MHs87ehhLOtPQf_bAWDEA,http://www.youtube.com/channel/UC0MHs87ehhLOtPQf_bAWDEA,Indie Programmer
UC0QHWhjbe5fGJEPz3sVb6nw,http://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike
UC0Wt8L-YtlDyGfSCHlH-1ig,http://www.youtube.com/channel/UC0Wt8L-YtlDyGfSCHlH-1ig,Serine Bucher
UC0r6VVLgxKMpp-NGEEsE-MQ,http://www.youtube.com/channel/UC0r6VVLgxKMpp-NGEEsE-MQ,Politecnico Open unix Labs
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC0yCXVwW6FdDQGYA-3OWXxw,http://www.youtube.com/channel/UC0yCXVwW6FdDQGYA-3OWXxw,YouCodeThings
UC18gW9mv4LDAD_W_WcRYAvw,http://www.youtube.com/channel/UC18gW9mv4LDAD_W_WcRYAvw,Level Up Norge
UC1Crbon9_pHDEXm5aKHTeAQ,http://www.youtube.com/channel/UC1Crbon9_pHDEXm5aKHTeAQ,Splitsie
UC2eYFnH61tmytImy1mTYvhA,http://www.youtube.com/channel/UC2eYFnH61tmytImy1mTYvhA,Luke Smith
UC3NlFg_0vsjlANDfd0Mu1Rw,http://www.youtube.com/channel/UC3NlFg_0vsjlANDfd0Mu1Rw,KjerneKarl
UC3azLjQuz9s5qk76KEXaTvA,http://www.youtube.com/channel/UC3azLjQuz9s5qk76KEXaTvA,suckerpinch
UC3cbgBtQdRGAbRsH8sno5HA,http://www.youtube.com/channel/UC3cbgBtQdRGAbRsH8sno5HA,Jon Cato Lorentzen
UC3s0BtrBJpwNDaflRSoiieQ,http://www.youtube.com/channel/UC3s0BtrBJpwNDaflRSoiieQ,Hak5
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC6duTrdZCnxNWIofAbQ0TIw,http://www.youtube.com/channel/UC6duTrdZCnxNWIofAbQ0TIw,TastyPC
UC6gsQLrrIudoMXP5VkzLi-g,http://www.youtube.com/channel/UC6gsQLrrIudoMXP5VkzLi-g,Forsvarets forum
UC6mIxFTvXkWQVEHPsEdflzQ,http://www.youtube.com/channel/UC6mIxFTvXkWQVEHPsEdflzQ,GreatScott!
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
